R_10_MEG-MAC,R_2_MAC-MES,R_0.5_MES-MIC,R_0_1_MIC-NAN
2.856158555,0.184951482,0.017504361,0.001133501
7.908827486,0.512138712,0.048470339,0.003138713
14.35021614,0.929252943,0.087947277,0.005695055
21.89988791,1.41813441,0.13421648,0.008691232
30.39766878,1.968410991,0.186296301,0.012063678
39.73637375,2.573141888,0.243529841,0.015769855
49.83781857,3.227264254,0.305437937,0.019778734
60.64174384,3.926875971,0.371651281,0.0240664
72.09988495,4.668851648,0.441874078,0.028613701
84.17246932,5.450615801,0.515862574,0.03340485
96.82599593,6.269999058,0.593411455,0.038426553
110.0317503,7.125142004,0.67434474,0.043667414
123.7647687,8.014428108,0.758509436,0.049117527
138.0030911,8.936435336,0.845770956,0.054768175
152.7272064,9.889900236,0.936009725,0.060611616
167.919631,10.87369066,1.029118592,0.066640911
183.5645827,11.88678463,1.125000834,0.072849797
199.6477229,12.92825364,1.223568574,0.079232584
216.1559507,13.99724933,1.324741522,0.085784071
233.0772351,15.09299264,1.428445945,0.092499485
250.4004783,16.21476493,1.534613828,0.099374421
268.1154016,17.36190059,1.643182176,0.1064048
286.2124498,18.53378086,1.754092428,0.113586829
304.6827108,19.72982866,1.867289968,0.120916973
323.5178472,20.94950409,1.982723696,0.128391922
342.7100373,22.19230063,2.100345677,0.136008572
362.2519242,23.45774192,2.220110823,0.143764003
382.1365724,24.74537882,2.341976629,0.151655463
402.3574287,26.05478699,2.465902932,0.159680351
422.908289,27.38556467,2.591851711,0.167836206
443.7832683,28.73733079,2.719786897,0.176120691
464.9767747,30.10972323,2.849674221,0.184531587
486.4834857,31.50239734,2.981481062,0.193066782
508.2983276,32.91502457,3.115176326,0.201724263
530.4164571,34.34729128,3.25073033,0.210502106
552.8332438,35.79889764,3.388114695,0.219398476
575.5442558,37.26955666,3.527302261,0.228411612
598.5452457,38.75899329,3.668266996,0.23753983
621.8321383,40.26694365,3.810983926,0.246781511
645.4010195,41.79315426,3.955429061,0.256135103
