R_10_MEG-MAC,R_2_MAC-MES,R_0_5_MES-MIC,R_0_1_MIC-NAN
4.396348434,0.311508849,0.031859587,0.002257451
13.34548116,0.945611007,0.096712424,0.006852682
25.55217067,1.810531486,0.18517222,0.013120613
40.51131752,2.870480825,0.293578604,0.020801885
57.91934719,4.103948863,0.419731624,0.029740617
77.56573832,5.496018843,0.562105668,0.039828711
99.29260983,7.035503903,0.719556597,0.050985096
122.9754722,8.713583178,0.891182259,0.06314585
148.5126658,10.52305344,1.076245943,0.076258772
175.8189935,12.45787795,1.274130239,0.090280115
204.8216129,14.51289537,1.484307272,0.105172476
235.457247,16.68362211,1.706318484,0.120903362
267.6702111,18.96611256,1.939760337,0.137444181
301.4109718,21.35685699,2.184273871,0.154769498
336.6350658,23.85270488,2.439536868,0.172856481
373.3022694,26.45080613,2.705257835,0.191684478
411.3759489,29.14856502,2.981171293,0.211234676
450.8225435,31.94360356,3.267034032,0.231489843
491.611148,34.8337319,3.562622087,0.25243411
533.7131713,37.8169242,3.867728264,0.274052795
577.1020542,40.89129857,4.182160093,0.296332262
621.7530338,44.0551004,4.505738122,0.319259794
667.6429442,47.30668826,4.838294471,0.342823496
714.7500479,50.64452188,5.179671612,0.367012207
763.053891,54.067152,5.529721319,0.391815423
812.5351782,57.57321141,5.888303762,0.417223237
863.1756649,61.16140737,6.255286726,0.443226281
914.9580623,64.83051487,6.630544923,0.469815677
967.8659551,68.57937077,7.013959392,0.496982996
1021.883728,72.40686864,7.405416973,0.524720219
1076.996501,76.31195414,7.804809835,0.553019708
1133.190073,80.29362099,8.212035058,0.581874168
1190.450868,84.35090731,8.626994268,0.611276629
1248.765892,88.48289237,9.049593296,0.64122042
1308.122691,92.68869365,9.479741883,0.671699144
1368.50931,96.9674642,9.917353405,0.702706664
1429.914265,101.3183903,10.36234464,0.734237082
1492.326509,105.7406891,10.81463552,0.766284727
1555.735406,110.2336069,11.27414897,0.798844136
1620.130701,114.7964173,11.74081069,0.831910044
