R_10_MEG-MAC,R_2_MAC-MES,R_0.5_MES-MIC,R_0_1_MIC-NAN
2.262729234,0.173008359,0.018893391,0.001444589
8.59194099,0.656940117,0.071741195,0.005485334
18.75222885,1.433796092,0.156577811,0.011971945
32.62495966,2.494505588,0.272412672,0.020828683
50.12957445,3.832909065,0.418573126,0.032004116
71.20518058,5.444350667,0.594550728,0.04545937
95.80293518,7.325095867,0.799937651,0.061163262
123.8821349,9.472032487,1.034394027,0.079089805
155.4079391,11.88249661,1.297628945,0.099216756
190.3499275,14.5541623,1.589388399,0.121524694
228.6811294,17.48496738,1.909447191,0.145996401
270.3773393,20.67306108,2.257603206,0.172616422
315.4166159,24.11676579,2.633673241,0.201370751
363.7789062,27.81454824,3.037489854,0.232246583
415.4457539,31.76499727,3.468898941,0.265232138
470.4000711,35.96680635,3.92775782,0.300316504
528.6259551,40.41875953,4.413933706,0.33748953
590.1085387,45.11972008,4.92730246,0.376741723
654.8338677,50.06862106,5.467747567,0.418064176
722.7887984,55.26445751,6.035159282,0.461448496
793.9609115,60.70627983,6.629433902,0.506886754
868.3384384,66.39318821,7.250473163,0.554371439
945.9101987,72.32432779,7.898183712,0.603895411
1026.665546,78.49888454,8.57247665,0.655451873
1110.59432,84.91608163,9.273267147,0.709034339
1197.686807,91.57517632,10.00047409,0.764636608
1287.933702,98.47545714,10.75401978,0.822252739
1381.326077,105.6162415,11.53382968,0.881877032
1477.855353,112.9968734,12.33983214,0.943504009
1577.513274,120.6167216,13.17195825,1.007128401
1680.291886,128.475178,14.03014157,1.072745129
1786.183513,136.5716556,14.91431803,1.140349293
1895.180744,144.9055878,15.82442573,1.20993616
2007.276409,153.4764264,16.76040481,1.281501154
2122.463572,162.283641,17.72219735,1.355039846
2240.735509,171.3267176,18.70974721,1.430547944
2362.085703,180.6051578,19.72299998,1.508021287
2486.507826,190.1184778,20.76190281,1.587455835
2613.995734,199.8662078,21.82640441,1.668847666
2744.543453,209.8478911,22.91645489,1.752192964
