Depth,Well Name,Formation,Porosity,K_air,R45,Rock Type,PHI*K_air
2561.6,Abanico-2,Guad Superior,0.228,24.068,1.337479027,RT3,5.487504
2565.4,Abanico-2,Guad Superior,0.253,3.32,0.362420343,RT4,0.83996
2571.4,Abanico-2,Guad Superior,0.218,1.387,0.246448321,RT4,0.302366
2573.6,Abanico-2,Guad Superior,0.24,2.277,0.303354871,RT4,0.54648
2576.4,Abanico-2,Guad Superior,0.275,1.053,0.166236507,RT4,0.289575
2577.6,Abanico-2,Guad Superior,0.253,2.682,0.318319722,RT4,0.678546
2578.5,Abanico-2,Guad Superior,0.254,1.755,0.245026157,RT4,0.44577
2579.4,Abanico-2,Guad Superior,0.26,1.595,0.225992724,RT4,0.4147
2580.5,Abanico-2,Guad Superior,0.303,2.383,0.248522834,RT4,0.722049
2581.4,Abanico-2,Guad Superior,0.293,1.351,0.181848361,RT4,0.395843
2582.6,Abanico-2,Guad Superior,0.303,0.47,0.092621194,RT5,0.14241
2583.3,Abanico-2,Guad Superior,0.291,2.254,0.249898821,RT4,0.655914
2584.6,Abanico-2,Guad Superior,0.236,0.569,0.13270643,RT4,0.134284
2585.8,Abanico-2,Guad Superior,0.258,0.745,0.143335386,RT4,0.19221
2591.5,Abanico-2,Guad Superior,0.348,0.459,0.079778144,RT5,0.159732
2594.8,Abanico-2,Guad Superior,0.265,0.427,0.099553989,RT5,0.113155
2595.6,Abanico-2,Guad Superior,0.252,0.516,0.1173078,RT4,0.130032
2596.3,Abanico-2,Guad Superior,0.276,2.394,0.272936762,RT4,0.660744
2597.9,Abanico-2,Guad Superior,0.316,1.115,0.150330777,RT4,0.35234
2599.5,Abanico-2,Guad Superior,0.299,0.676,0.117031792,RT4,0.202124
2600.8,Abanico-2,Guad Superior,0.285,0.546,0.107694676,RT4,0.15561
2601.6,Abanico-2,Guad Superior,0.24,0.763,0.156044753,RT4,0.18312
2602.6,Abanico-2,Guad Superior,0.28,0.659,0.122842999,RT4,0.18452
2603.4,Abanico-2,Guad Superior,0.281,0.589,0.114337882,RT4,0.165509
2605.6,Abanico-2,Guad Superior,0.257,0.416,0.100956406,RT5,0.106912
2606.4,Abanico-2,Guad Superior,0.234,2.695,0.344479583,RT4,0.63063
2607.7,Abanico-2,Guad Superior,0.229,0.588,0.13941248,RT4,0.134652
2621.8,Abanico-2,Guad Superior,0.213,4.048,0.483459939,RT4,0.862224
2625.3,Abanico-2,Guad Superior,0.26,2.554,0.300888966,RT4,0.66404
2626.4,Abanico-2,Guad Superior,0.246,0.579,0.128806498,RT4,0.142434
2627.7,Abanico-2,Guad Superior,0.26,0.653,0.131305577,RT4,0.16978
2662.4,Abanico-2,Guad Inferior,0.185980814,0.9629884,0.230451548,RT4,0.179097366
2663.4,Abanico-2,Guad Inferior,0.246862855,7.851664,0.626447701,RT3,1.938284189
2664.5,Abanico-2,Guad Inferior,0.306,267.701,4.34428718,RT2,81.916506
2665.6,Abanico-2,Guad Inferior,0.293617384,2.174289,0.242364753,RT4,0.638409048
2666.7,Abanico-2,Guad Inferior,0.3,363.23,5.331806478,RT2,108.969
2667.7,Abanico-2,Guad Inferior,0.261850587,14.41007,0.855627674,RT3,3.773285294
2668.4,Abanico-2,Guad Inferior,0.311,755.963,8.038586869,RT2,235.104493
2669.3,Abanico-2,Guad Inferior,0.289,309.083,5.012462926,RT2,89.324987
2670.6,Abanico-2,Guad Inferior,0.296,555.333,6.992788456,RT2,164.378568
2671.3,Abanico-2,Guad Inferior,0.306698045,3.296526,0.299172613,RT4,1.011038078
2672.6,Abanico-2,Guad Inferior,0.288,210.813,3.985486379,RT2,60.714144
2673.5,Abanico-2,Guad Inferior,0.296,703.521,8.074326916,RT2,208.242216
2674.3,Abanico-2,Guad Inferior,0.294,464.586,6.315473254,RT2,136.588284
2675.4,Abanico-2,Guad Inferior,0.269,415.056,6.430283945,RT2,111.650064
2676.6,Abanico-2,Guad Inferior,0.178152324,5.612608,0.701812714,RT3,0.999899158
2677.3,Abanico-2,Guad Inferior,0.274,624.806,8.099235521,RT2,171.196844
2678.4,Abanico-2,Guad Inferior,0.242631438,1.003854,0.182422015,RT4,0.24356654
2679.5,Abanico-2,Guad Inferior,0.275,604.378,7.90907354,RT2,166.20395
2680.2,Abanico-2,Guad Inferior,0.326004532,13.33256,0.659276527,RT3,4.346474986
2681.6,Abanico-2,Guad Inferior,0.277,296.27,5.091090449,RT2,82.06679
2682.6,Abanico-2,Guad Inferior,0.255,218.481,4.58557054,RT2,55.712655
2683.2,Abanico-2,Guad Inferior,0.253,99.845,2.870456804,RT2,25.260785
2684.5,Abanico-2,Guad Inferior,0.323105006,4.311917,0.33479491,RT4,1.39320197
2685.3,Abanico-2,Guad Inferior,0.265,469,7.027997643,RT2,124.285
